scraped_at,park_id,name,district,private_car_vacancy,motorcycle_vacancy,lgv_vacancy,last_update,opening_status
2026-02-20T07:18:27.453474+08:00,tdc315p1,Lok Man Sun Chuen,Kowloon City,-1,,,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdstt140,nevas smart car park (Po Tai Street),Sha Tin,85,,8,2026-02-20 07:14:33,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc307p1,Yip Wong Estate Phase 1 & 2 Car Park,Tuen Mun,-1,-1,-1,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc308p1,Yan On Estate carpark,Sha Tin,-1,-1,-1,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc309p1,Fu Tip Estate Phase 1 carpark,Tai Po,-1,-1,-1,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc310p1,Fu Tip Estate Phase 2 carpark,Tai Po,-1,,-1,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc311p1,Ocean PopWalk,Sai Kung,0,,,2026-02-19 21:59:40,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc316p1,Mikiki,Wong Tai Sin,84,,,2026-02-20 07:15:57,CLOSED
2026-02-20T07:18:27.453474+08:00,tdstt142,Clear Water Bay Road (GOLDWAY PARKING LIMITED),Sai Kung,-1,-1,,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc318p1,Pak Shing Kok Road Public Car Park,Sai Kung,38,2,10,2026-02-20 07:15:30,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc314p1,THE CENDAS Carpark,Kwun Tong,92,,,2026-02-20 07:14:46,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc317p1,V Walk Carpark,Sham Shui Po,79,,,2026-02-20 07:15:46,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc319p1,Uptown Plaza Car Park,Tai Po,99,,,2026-02-20 07:15:47,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc322p1,Park Central Shopping Arcade Car Park,Sai Kung,-1,,,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc114p2,Sun Yat Sen Memorial Park Sports Centre,Central & Western,9,,,2026-02-20 07:15:34,OPEN
2026-02-20T07:18:27.453474+08:00,tdc114p1,Sun Yat Sen Memorial Park,Central & Western,22,,,2026-02-20 07:14:46,OPEN
2026-02-20T07:18:27.453474+08:00,tdc325p1,Landmark North Car Park,North,99,,,2026-02-20 07:16:02,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc324p1,Sun Hung Kai Centre,Wan Chai,33,,,2026-02-20 07:15:49,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc320p1,YOHO MALL I,Yuen Long,99,,,2026-02-20 07:15:42,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc321p1,YOHO MALL II,Yuen Long,54,,,2026-02-20 07:15:48,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc327p1,Tsuen Wan Plaza Car Park,Tsuen Wan,99,,,2026-02-20 07:15:44,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc330p1,Vcity Commerical Carpark,Tuen Mun,99,,,2026-02-20 07:15:47,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc331p1,Vcity Station Carpark,Tuen Mun,81,,,2026-02-20 07:15:48,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc332p1,apm Car Park,Kwun Tong,99,,,2026-02-20 07:15:57,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc328p1,Harbour North Phase 2 & 3 B2/F Zone A,Eastern,46,,,2026-02-20 07:15:34,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc290p1,Hoi Ying Estate Car Park,Sham Shui Po,-1,,,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc289p1,Hoi Lok Court Car Park,Sham Shui Po,-1,,,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc335p1,Tseung Kwan O Government Offices Public Car Park,Sai Kung,47,,3,2026-02-20 07:15:48,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc334p1,Kwai Chung Park Car Park,Kwai Tsing,-1,,,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc326p1,Yuen Long Swimming Pool Car Park,Yuen Long,-1,,,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc291p1,CHING LAI COURT Car Park,Sham Shui Po,-1,,,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc333p1,Hong Kong International School Car Park,Southern,0,,,2026-02-15 18:11:40,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc294p1,SO UK Estate Car Park Phase 1,Sham Shui Po,,-1,,,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc295p1,SO UK Estate Car Park Phase 2,Sham Shui Po,-1,,,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc293p1,Pak Tin Estate Phase 7 & 8 Carpark,Sham Shui Po,2,,,2026-02-20 05:16:55,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc336p1,Scramble Hill Car Park,Kwun Tong,150,,,2026-02-20 07:16:02,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc297p1,Lai Tsui Court Car Park,Sham Shui Po,0,,,2026-02-20 03:34:17,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc305p1,Un Chau Estate Phase 5 Carpark,Sham Shui Po,-1,,,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc329p1,Hoi Tak Court Carpark,Sham Shui Po,-1,,,2026-02-20 07:16:03,CLOSED
2026-02-20T07:18:27.453474+08:00,tdc343p1,East Point City,Sai Kung,99,,,2026-02-20 07:15:47,CLOSED
2026-02-20T07:50:04.362552+08:00,12,Amoy Plaza,Kwun Tong District,149,0,0,2026-02-20 07:18:37,OPEN
2026-02-20T07:50:04.362552+08:00,27,Yau Lai Shopping Centre Carpark,Kwun Tong District,5,2,,2026-02-19 22:12:16,OPEN
2026-02-20T07:50:04.362552+08:00,30,Telford Plaza D Carpark,Kwun Tong District,61,,,2026-02-20 07:32:00,OPEN
2026-02-20T07:50:04.362552+08:00,31,Telford Plaza I Carpark,Kwun Tong District,171,,,2026-02-20 07:35:00,OPEN
2026-02-20T07:50:04.362552+08:00,32,Telford Plaza II Carpark,Kwun Tong District,91,,,2026-02-20 07:35:00,OPEN
2026-02-20T07:50:04.362552+08:00,38,Domain Carpark,Kwun Tong District,112,,,2026-02-19 22:12:10,OPEN
2026-02-20T07:50:04.362552+08:00,75,Landmark East Carpark,Kwun Tong District,50,,,2026-02-20 07:36:20,OPEN
2026-02-20T07:50:04.362552+08:00,77,Kingston International Center,Kwun Tong District,92,,,2026-02-20 07:26:30,OPEN
2026-02-20T07:50:04.362552+08:00,78,Stelux House,Wong Tai Sin District,10,,,2026-02-16 14:27:16,OPEN
2026-02-20T07:50:04.362552+08:00,81,Manulife Place,Kwun Tong District,77,3,5,2026-02-16 12:50:15,OPEN
2026-02-20T07:50:04.362552+08:00,88,"Public Vehicle Parking, 8 Yan Yue Wai, Yau Tong",Kwun Tong District,13,,20,2026-02-13 10:25:19,OPEN
2026-02-20T07:50:04.362552+08:00,93,Hong Ning Road Park Car Park,Kwun Tong District,5,,,2026-02-20 06:56:30,OPEN
2026-02-20T07:50:04.362552+08:00,100,Prosperity Place Car Park,Kwun Tong District,31,,,2026-02-20 07:29:00,OPEN
2026-02-20T07:50:04.362552+08:00,101,Prosperity Center Car Park,Kwun Tong District,67,,,2026-02-20 02:54:01,OPEN
2026-02-20T07:50:04.362552+08:00,102,Scramble Hill,Kwun Tong District,150,,,2026-02-19 21:24:11,OPEN
2026-02-20T07:50:04.362552+08:00,103,One Sky Parc (Wilson Parking),Kwun Tong District,29,,,2026-02-20 07:35:41,OPEN
2026-02-20T07:50:04.362552+08:00,104,AIRSIDE,Wong Tai Sin District,671,73,,2026-02-20 07:32:30,OPEN
2026-02-20T07:50:04.362552+08:00,117,Kai Ching Estate Car Park,Kowloon City District,19,,,2026-02-20 07:04:10,OPEN
2026-02-20T07:50:04.362552+08:00,118,Tak Long Estate Carpark A,Kowloon City District,23,,,2026-02-20 07:02:50,OPEN
2026-02-20T07:50:04.362552+08:00,119,Tak Long Estate Carpark B,Kowloon City District,3,,,2026-02-20 03:02:50,OPEN
2026-02-20T07:50:04.362552+08:00,123,KTR350 Car Park,Kwun Tong District,74,,,2026-02-20 07:16:30,OPEN
2026-02-20T07:50:04.362552+08:00,124,Stadium Carpark,Kowloon City District,277,34,,2026-02-16 18:37:41,OPEN
2026-02-20T07:50:04.362552+08:00,125,Arena Carpark,Kowloon City District,79,10,,2026-02-16 18:39:01,OPEN
2026-02-20T07:50:04.362552+08:00,128,The Burrow (Wilson Parking),Wong Tai Sin District,36,,,2026-02-20 07:36:11,OPEN
2026-02-20T07:50:04.362552+08:00,tdc166p1,Phase 1 Carpark of Tin Ching Estate,Yuen Long,-1,,,2026-02-20 07:48:02,CLOSED
2026-02-20T07:50:04.362552+08:00,tdc6p11,Cheung Shan Estate Carpark,Tsuen Wan,-1,,,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdc245p1,Hong Wah Court Car Park,Kwun Tong,-1,,,2026-02-20 07:48:02,CLOSED
2026-02-20T07:50:04.362552+08:00,tdc6p8,Kwai Shing West Shopping Centre Car Park,Kwai Tsing,-1,,,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdc6p9,Lai King Estate Car Park C,Kwai Tsing,-1,,,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdc8p3,MTR Hong Kong Station Car Park,Central & Western,204,,,2026-02-20 07:47:15,OPEN
2026-02-20T07:50:04.362552+08:00,tdcp10,Aberdeen Car Park,Southern,28,4,,2026-02-20 07:47:12,OPEN
2026-02-20T07:50:04.362552+08:00,tdcp11,Tin Hau Car Park,Wan Chai,183,0,,2026-02-20 07:47:12,OPEN
2026-02-20T07:50:04.362552+08:00,tdcp12,Sheung Fung Street Car Park,Wong Tai Sin,58,0,,2026-02-20 07:47:12,OPEN
2026-02-20T07:50:04.362552+08:00,tdcp2,Rumsey Street Car Park,Central & Western,468,30,,2026-02-20 07:47:12,OPEN
2026-02-20T07:50:04.362552+08:00,tdcp3,Tsuen Wan Car Park,Tsuen Wan,101,3,,2026-02-20 07:47:12,OPEN
2026-02-20T07:50:04.362552+08:00,tdcp5,City Hall Car Park,Central & Western,127,7,,2026-02-20 07:47:12,OPEN
2026-02-20T07:50:04.362552+08:00,tdcp6,Kwai Fong Car Park,Kwai Tsing,158,5,,2026-02-20 07:47:12,OPEN
2026-02-20T07:50:04.362552+08:00,tdcp7,Kennedy Town Car Park,Central & Western,38,0,,2026-02-20 07:47:12,OPEN
2026-02-20T07:50:04.362552+08:00,tdcp8,Star Ferry Car Park,Central & Western,-1,-1,,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdcp9,Shau Kei Wan Car Park,Eastern,89,4,,2026-02-20 07:47:12,OPEN
2026-02-20T07:50:04.362552+08:00,tdstt2p2,Value Parking Shan Mei Street,Sha Tin,-1,,,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdc5p1,Hopewell Centre,Wan Chai,-1,,,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdc5p3,Wu Chung House,Wan Chai,-1,,,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdc5p4,Panda Place,Tsuen Wan,-1,,,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdc17p1,Xiqu Centre Car Park,Yau Tsim Mong,46,,,2026-02-20 07:47:12,OPEN
2026-02-20T07:50:04.362552+08:00,tdstt30,Hoi Ting Road,Yau Tsim Mong,16,,,2026-02-20 07:46:50,OPEN
2026-02-20T07:50:04.362552+08:00,tdc1p5,Lee Garden Three Car Park,Wan Chai,-1,,,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdc1p4,Hysan Place Car Park,Wan Chai,-1,,,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdc1p3,Leighton Centre Car Park,Wan Chai,-1,,,2026-02-20 07:48:02,CLOSED
2026-02-20T07:50:04.362552+08:00,tdc1p2,LEE GARDEN TWO CAR PARK,Wan Chai,-1,,,2026-02-20 07:48:02,CLOSED
2026-02-20T07:50:04.362552+08:00,tdc1p1,LEE GARDEN ONE CAR PARK,Wan Chai,-1,,,2026-02-20 07:48:02,CLOSED
2026-02-20T07:50:04.362552+08:00,tdc17p3,West Gate Open Car Park,Yau Tsim Mong,184,,,2026-02-20 07:46:12,OPEN
2026-02-20T07:50:04.362552+08:00,tdstt3p1,Skye Parking Ho Tin Street,Tuen Mun,-1,,-1,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdc17p2,Art Park Car Park,Yau Tsim Mong,204,0,,2026-02-20 07:46:12,OPEN
2026-02-20T07:50:04.362552+08:00,tdstt5p1,Skye Parking Ma Wo Road,Tai Po,-1,,,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p1004,Choi Ming Car Park 1,Sai Kung,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p1005,Choi Ming Car Park 2,Sai Kung,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p1006,Kin Ming Car Park A,Sai Kung,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p1007,Tong Ming Car Park,Sai Kung,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p1008,TKO Spot Car Park A,Sai Kung,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p1012,TKO Spot Car Park B,Sai Kung,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p1015,Oi Tung Car Park,Eastern,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p1016,Yiu Tung Car Park 1,Eastern,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p1017,Hing Tung Car Park,Eastern,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdstt38,Man Lai Road,Sha Tin,-1,,,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdc268p1,Shek Kip Mei Park Sports Centre,Sham Shui Po,-1,,,2026-02-20 07:48:02,CLOSED
2026-02-20T07:50:04.362552+08:00,tdc14p1030,Siu Sai Wan Phase 3 Car Park,Eastern,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p1031,Siu Sai Wan Phase 1 Car Park,Eastern,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p1032,Tsui Wan Car Park,Eastern,0,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p1033,Wan Tsui Car Park,Eastern,18,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p1034,Hing Wah Car Park B,Eastern,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p1037,Yiu Tung Car Park 2,Eastern,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc25p42,Cornell Centre,Eastern,6,,,2026-02-20 07:47:13,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p2101,Chung On Car Park,Sha Tin,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p2104,Heng On Car Park,Sha Tin,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p2106,Yiu On Car Park,Sha Tin,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc25p41,Chai Wan Industrial City Phase II,Eastern,10,,,2026-02-20 07:47:14,OPEN
2026-02-20T07:50:04.362552+08:00,tdc25p40,Chai Wan Industrial City Phase I,Eastern,9,,,2026-02-20 07:47:14,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p2116,Cheung Wah Car Park A,North,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p2117,Cheung Wah Car Park B,North,28,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p2118,Choi Yuen Car Park A,North,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p2119,Choi Yuen Car Park B,North,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p2120,Choi Yuen Car Park C,North,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p2121,Choi Yuen Car Park D,North,3,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc284p1,Shun Chi Court Car Park,Kwun Tong,-1,,,2026-02-20 07:48:02,CLOSED
2026-02-20T07:50:04.362552+08:00,tdc14p3201,Hin Keng Car Park,Sha Tin,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3204,Lung Hang A Car Park,Sha Tin,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3206,Sun Chui Car Park B,Sha Tin,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc269p1,Shek Kip Mei Park Stage Three,Sham Shui Po,-1,,,2026-02-20 07:48:02,CLOSED
2026-02-20T07:50:04.362552+08:00,tdc14p3216,Mei Lam Car Park,Sha Tin,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc264p1,Siu Tsui Court,Tuen Mun,-1,,,2026-02-20 07:48:02,CLOSED
2026-02-20T07:50:04.362552+08:00,tdc14p3303,Tin Wah Car Park,Yuen Long,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3304,T Town South Car Park,Yuen Long,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3306,T Town North Car Park,Yuen Long,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc247p1,King Shan Court Car Park,Wong Tai Sin,26,,,2026-02-20 07:42:41,CLOSED
2026-02-20T07:50:04.362552+08:00,tdc14p3309,Tin Chak Car Park,Yuen Long,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3311,Tin Yat Car Park,Yuen Long,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3431,Hong Pak Car Park,Kwun Tong,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3432,Hong Shui Car Park,Kwun Tong,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3433,Ko Chun Car Park,Kwun Tong,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3434,Ko Yee Car Park,Kwun Tong,0,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3435,Tak Tin Car Park A,Kwun Tong,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3436,Tak Tin Car Park B,Kwun Tong,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3441,Kai Tin Car Park A,Kwun Tong,27,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3443,Ping Tin Phase 2 Car Park,Kwun Tong,18,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3444,Ping Tin Phase 4 Car Park,Kwun Tong,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3445,Hong Yat Car Park,Kwun Tong,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc25p37,Sunshine Plaza,Kowloon City,10,,,2026-02-20 07:47:14,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3512,Leung King Car Park,Tuen Mun,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3519,Kin Sang Car Park,Tuen Mun,28,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3520,Tai Hing - Car Park H,Tuen Mun,19,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3521,Tai Hing - Car Park D,Tuen Mun,10,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3522,Tai Hing - Car Park C,Tuen Mun,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc25p36,Technology Plaza,Tsuen Wan,17,,,2026-02-20 07:47:14,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3527,Fu Tai Car Park,Tuen Mun,0,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p3554,Kai Tin Car Park B,Kwun Tong,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc166p2,Phase 2 Carpark of Tin Ching Estate,Yuen Long,-1,,,2026-02-20 07:48:02,CLOSED
2026-02-20T07:50:04.362552+08:00,tdc14p4219,Yu Chui Car Park A,Sha Tin,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4220,Yu Chui Car Park B,Sha Tin,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4222,Kwong Yuen Car Park A,Sha Tin,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4223,Lek Yuen Car Park,Sha Tin,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4225,Wo Che Car Park S,Sha Tin,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4227,Wo Che Car Park F,Sha Tin,10,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4235,Long Ping Car Park B,Yuen Long,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4237,Long Ping Car Park D,Yuen Long,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4239,Tin Shing Car Park A,Yuen Long,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4243,Tin Yiu Car Park,Yuen Long,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4246,Tin Tsz Car Park,Yuen Long,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4312,Kwong Fuk Car Park,Tai Po,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4320,Tai Wo Car Park A,Tai Po,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4321,Tai Wo Car Park B,Tai Po,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4322,Fu Shin Car Park,Tai Po,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4327,Tai Yuen Car Park A,Tai Po,30,,,2026-02-20 07:48:00,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4328,Tai Yuen Car Park B,Tai Po,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4330,Fu Heng Car Park A,Tai Po,0,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4332,Lok Fu UNY Car Park,Wong Tai Sin,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4334,Lok Fu Market Car Park,Wong Tai Sin,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4335,Lok Fu Zone B Car Park,Wong Tai Sin,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4337,Tung Tau II Car Park A,Wong Tai Sin,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc25p35,Technology Park,Sha Tin,15,,,2026-02-20 07:47:14,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p4352,Lok Fu Estate Car Park,Wong Tai Sin,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p5128,TKO Gateway Car Park West,Sai Kung,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p5129,TKO Gateway Car Park East,Sai Kung,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc43p2,Castle Peak Beach,Tuen Mun,-1,,,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p5132,TKO Gateway Car Park South,Sai Kung,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc43p1,Shun Lee Tsuen Park,Kwun Tong,15,,,2026-02-20 07:46:12,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p5135,Yan Ming Court Car Park,Sai Kung,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p5136,Ying Ming Court Car Park,Sai Kung,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p5137,Po Lam Car Park,Sai Kung,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p5419,Nam Cheong Place Car Park,Sham Shui Po,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p5421,Nam Cheong Car Park,Sham Shui Po,0,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p5528,Chuk Yuen (S) Car Park,Wong Tai Sin,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p5532,Temple Mall North Car Park,Wong Tai Sin,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p5534,Temple Mall South Car Park A,Wong Tai Sin,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p5535,Temple Mall South Car Park B,Wong Tai Sin,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p5727,Yin Lai Car Park,Kwai Tsing,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p5904,Ying Fuk Car Park,Wong Tai Sin,30,,,2026-02-20 07:48:01,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p6401,Stanley Plaza Car Park,Southern,30,,,2026-02-20 07:48:02,OPEN
2026-02-20T07:50:04.362552+08:00,tdc14p6601,Sau Mau Ping Shopping Centre Car Park,Kwun Tong,30,,,2026-02-20 07:48:01,OPEN
